fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_84_40,ADBM,10,0.18,3.583333333333333,0,0,0
adbm_85_10,ADBM,,,,,,
adbm_85_20,ADBM,8,0.109375,3.0,0,0,0
adbm_85_40,ADBM,14,0.07142857142857142,3.5,0,0,0
adbm_86_10,ADBM,7,0.12244897959183673,3.0,0,0,0
adbm_86_20,ADBM,7,0.12244897959183673,5.0,0,0,0
adbm_86_40,ADBM,10,0.07,4.0,0,0,0
adbm_87_10,ADBM,4,0.3125,2.6666666666666665,0,0,0
adbm_87_20,ADBM,5,0.16,4.0,0,0,0
adbm_87_40,ADBM,2,0.25,2.0,0,0,0
adbm_88_10,ADBM,2,0.25,2.0,0,0,0
adbm_88_20,ADBM,12,0.2361111111111111,3.3862433862433856,0,0,0
adbm_88_40,ADBM,10,0.07,4.0,0,0,0
adbm_89_10,ADBM,,,,,,
adbm_89_20,ADBM,6,0.1388888888888889,5.0,0,0,0
adbm_89_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_8_10,ADBM,7,0.30612244897959184,3.0277777777777772,0,0,0
adbm_8_20,ADBM,10,0.12,4.0,0,0,0
adbm_8_40,ADBM,10,0.09,5.0,0,0,0
adbm_90_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_90_20,ADBM,6,0.2222222222222222,2.833333333333333,0,0,0
adbm_90_40,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_91_10,ADBM,5,0.12,3.0,0,0,0
adbm_91_20,ADBM,7,0.10204081632653061,5.0,0,0,0
adbm_91_40,ADBM,13,0.17159763313609466,3.6354166666666665,0,0,0
adbm_92_10,ADBM,4,0.1875,4.0,0,0,0
adbm_92_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_92_40,ADBM,,,,,,
adbm_93_10,ADBM,,,,,,
adbm_93_20,ADBM,4,0.125,2.0,0,0,0
adbm_93_40,ADBM,8,0.15625,3.25,0,0,0
adbm_94_10,ADBM,8,0.09375,3.0,0,0,0
adbm_94_20,ADBM,6,0.1388888888888889,4.0,0,0,0
adbm_94_40,ADBM,2,0.25,2.0,0,0,0
adbm_95_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_95_20,ADBM,6,0.1388888888888889,3.0,0,0,0
adbm_95_40,ADBM,5,0.12,3.0,0,0,0
adbm_96_10,ADBM,5,0.16,5.0,0,0,0
