fw_ID,model,S_equ,connectance_equ,prop_basal_equ,mx_tl_equ,mean_FCL_equ,closed_loops_equ,isolated_equ,illogical_equ
niche_72,Niche,9,0.09876543209876543,0.4444444444444444,1.0987654320987654,1.0,0,0,
niche_73,Niche,6,0.16666666666666666,0.16666666666666666,1.1944444444444444,1.2,0,0,
niche_74,Niche,13,0.09467455621301775,0.23076923076923078,1.1183431952662721,1.9166666666666667,0,0,
niche_75,Niche,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
niche_76,Niche,9,0.12345679012345678,0.2222222222222222,1.1728395061728394,1.7142857142857142,0,0,
niche_77,Niche,8,0.140625,0.375,1.15625,1.125,0,0,
niche_78,Niche,9,0.09876543209876543,0.3333333333333333,1.1111111111111112,1.1428571428571428,0,0,
niche_79,Niche,4,0.25,0.25,1.375,2.0,0,0,
niche_8,Niche,4,0.1875,0.75,1.1875,1.0,0,0,
niche_80,Niche,6,0.2222222222222222,0.16666666666666666,1.3333333333333333,2.75,0,0,
niche_81,Niche,7,0.10204081632653061,0.42857142857142855,1.1020408163265307,1.0,0,0,
niche_82,Niche,3,0.2222222222222222,0.6666666666666666,1.222222222222222,1.0,0,0,
niche_83,Niche,10,0.13,0.5,1.1699999999999997,1.3636363636363635,0,0,
niche_84,Niche,6,0.16666666666666666,0.3333333333333333,1.2222222222222223,1.4,0,0,
niche_85,Niche,9,0.2839506172839506,0.3333333333333333,1.3703703703703705,1.8823529411764706,0,0,
niche_86,Niche,7,0.16326530612244897,0.42857142857142855,1.2448979591836733,1.6666666666666667,0,0,
niche_87,Niche,7,0.08163265306122448,0.42857142857142855,1.1020408163265305,1.3333333333333333,0,0,
niche_88,Niche,11,0.08264462809917356,0.36363636363636365,1.0909090909090908,1.3333333333333333,0,0,
niche_89,Niche,9,0.16049382716049382,0.1111111111111111,1.2345679012345678,2.0,0,0,
niche_9,Niche,8,0.1875,0.125,1.3125,2.8333333333333335,0,0,
niche_90,Niche,8,0.296875,0.375,1.390625,1.8333333333333333,0,0,
niche_91,Niche,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
niche_92,Niche,9,0.13580246913580246,0.1111111111111111,1.2098765432098766,2.857142857142857,0,0,
niche_93,Niche,3,0.2222222222222222,0.6666666666666666,1.222222222222222,1.0,0,0,
niche_94,Niche,6,0.1111111111111111,0.5,1.138888888888889,1.3333333333333333,0,0,
niche_95,Niche,11,0.10743801652892562,0.36363636363636365,1.1322314049586777,1.4166666666666667,0,0,
niche_96,Niche,8,0.3125,0.375,1.5625,2.5,0,0,
niche_97,Niche,11,0.14049586776859505,0.18181818181818182,1.190082644628099,1.7692307692307692,0,0,
niche_98,Niche,10,0.11,0.3,1.12,1.3,0,0,
niche_99,Niche,14,0.12755102040816327,0.2857142857142857,1.1581632653061225,1.36,0,0,
random_10,Random,10,0.07,0.5,1.09,1.4,0,0,
random_13,Random,15,0.24,0.0,1.5199999999999998,NaN,2890,0,
random_14,Random,15,0.24888888888888888,0.0,1.551111111111111,NaN,5299,0,
random_16,Random,9,0.1111111111111111,0.3333333333333333,1.1728395061728394,2.6,0,0,
random_17,Random,15,0.16444444444444445,0.0,1.2399999999999995,NaN,38,0,
random_18,Random,15,0.19555555555555557,0.06666666666666667,1.422222222222222,1.0,513,0,
random_2,Random,8,0.109375,0.375,1.140625,1.6,0,0,
random_25,Random,15,0.13777777777777778,0.13333333333333333,1.28,5.0,111,0,
random_27,Random,3,0.2222222222222222,0.6666666666666666,1.222222222222222,1.0,0,0,
random_28,Random,2,0.25,0.5,1.25,1.0,0,0,
random_29,Random,15,0.19555555555555557,0.06666666666666667,1.3022222222222222,4.75,194,0,
random_3,Random,15,0.24444444444444444,0.0,1.4977777777777777,NaN,3251,0,
