fw_ID,model,richness,connectance,complexity,max_trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
ltm_60,LTM,15,0.25333333333333335,0.875412649723122,4.805120033336266,0.7456508910248214,0.4358308795846448,0.06666666666666667,5.0,4.0,6.979435797468866,0.6815343915343915,1.270446884325073,15,0.25333333333333335,0.06666666666666667,4.805120033336266,5.0,148,0,1
ltm_laura_60,LTM_Laura,15,0.09333333333333334,0.9452245546738235,3.2857142857142856,1.2013112369601173,0.5914847651505893,0.13333333333333333,0.0,2.0,3.474431818181819,0.4022222222222222,0.8119601817421184,15,0.09333333333333334,0.13333333333333333,3.2857142857142856,0.0,2,2,1
atn_60,ATN,15,0.1111111111111111,0.9424841799579728,4.177083333333334,1.0309496315810693,0.7406560798180412,0.13333333333333333,5.064516129032258,2.0,2.789473684210526,0.4044444444444445,0.7177767099241983,15,0.1111111111111111,0.13333333333333333,4.177083333333334,5.064516129032258,0,1,1
adbm_60,ADBM,15,0.1111111111111111,0.9123999431900862,6.0,1.3732131246511903,0.8684962373468951,0.2,3.5714285714285716,2.0,1.82852702469349,0.37301587301587297,1.7612870752544383,15,0.1111111111111111,0.2,6.0,3.5714285714285716,0,2,1
niche_60,Niche,15,0.1111111111111111,0.9212006259642378,3.6000000000000005,0.9531901324349872,1.1489125293076057,0.3333333333333333,2.5416666666666665,3.0,1.278743238577512,0.2650793650793651,0.4946566336209241,15,0.1111111111111111,0.3333333333333333,3.6000000000000005,2.5416666666666665,0,0,
cascade_60,Cascade,15,0.1511111111111111,0.8857465114881173,3.3000000000000007,0.9646495166972618,0.9051672392947266,0.2,2.6875,3.0,1.9924366984544557,0.2922222222222222,0.717469096729542,15,0.1511111111111111,0.2,3.3000000000000007,2.6875,0,0,
random_60,Random,15,0.16444444444444445,0.9369208083063371,7.518652954224642,0.6655613641569168,0.6103562048992549,0.06666666666666667,5.5,3.0,3.365438942487074,0.29269841269841274,1.7965862876714958,15,0.16444444444444445,0.06666666666666667,7.518652954224642,5.5,53,0,
maxent_60,MaxEnt,15,0.08888888888888889,0.9204534401941442,3.5,1.319496657279369,1.1572751247156894,0.4,2.0,2.0,4.567830313742821,0.23111111111111113,0.5525062514530825,15,0.08888888888888889,0.4,3.5,2.0,0,2,
ltm_61,LTM,15,0.24,0.8858864589320892,15.172740831389351,0.7334295271205028,0.5634361698190111,0.06666666666666667,0.0,3.0,1.683152249410015,0.6431746031746032,4.422851262605718,15,0.24,0.06666666666666667,15.172740831389351,0.0,1706,1,0
ltm_laura_61,LTM_Laura,15,0.10222222222222223,0.9520736995167025,20.499999999999996,0.9179107181073871,0.8841937240915745,0.26666666666666666,3.7777777777777777,2.0,2.8438071995118968,0.42444444444444446,4.315405806262867,15,0.10222222222222223,0.26666666666666666,20.499999999999996,3.7777777777777777,4,1,3
atn_61,ATN,15,0.11555555555555555,0.8978493531507381,3.1400000000000006,1.1836802360007963,0.9370508222337028,0.3333333333333333,2.5789473684210527,3.0,3.3629583592293346,0.26666666666666666,0.46548899020277595,15,0.11555555555555555,0.3333333333333333,3.1400000000000006,2.5789473684210527,0,2,3
adbm_61,ADBM,15,0.16444444444444445,0.8620357646457997,4.746527777777778,1.1656139812350175,0.9674877558161545,0.26666666666666666,4.679245283018868,2.0,1.4459542927733169,0.5217460317460317,0.8810143827387796,15,0.16444444444444445,0.26666666666666666,4.746527777777778,4.679245283018868,0,2,2
niche_61,Niche,15,0.3377777777777778,0.8385764358380351,5.008597883597883,0.709533558750587,0.6856008142164751,0.13333333333333333,5.693028095733611,2.0,3.463417957218765,0.8054486254486256,0.7932018907765811,15,0.3377777777777778,0.13333333333333333,5.008597883597883,5.693028095733611,0,0,
cascade_61,Cascade,15,0.3022222222222222,0.8674125757911852,3.237521258503401,0.7068008729822305,0.716568275825773,0.06666666666666667,4.263803680981595,2.0,2.828623518687328,0.62006734006734,0.7461094576084744,15,0.3022222222222222,0.06666666666666667,3.237521258503401,4.263803680981595,0,0,
