model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
atn_40,12,0.13194444444444445,0.9223845569855014,1.201388888888889,0.7832288901297761,0.7832288901297763,0.25,4.153846153846154,1.0,1.0869565217391306,0.30833333333333335,0.2355299004014265
atn_41,5,0.04,NaN,1.04,2.23606797749979,2.23606797749979,0.8,0.25,2.0,4.0,0.0,NaN
atn_42,15,0.13777777777777778,0.9127661005569769,1.1777777777777776,0.9408711871205745,0.5321533202339939,0.06666666666666667,6.388888888888889,3.0,2.2566299597424773,0.6374603174603173,0.205096358156434
atn_43,6,0.1111111111111111,0.8724293398564681,1.138888888888889,1.224744871391589,1.816590212458495,0.6666666666666666,0.8,2.0,1.4000000000000001,0.38888888888888884,0.1595711846260563
atn_44,15,0.13777777777777778,0.9347690075094341,1.2977777777777777,0.7192484060876191,0.5321533202339939,0.06666666666666667,5.70935960591133,2.0,3.1217537272846823,0.4066666666666666,0.1859844162996786
atn_45,14,0.14285714285714285,0.9145507770260429,1.1989795918367345,0.9198662110077999,0.7337993857053428,0.07142857142857142,5.0,3.0,2.8367234261478425,0.13809523809523808,0.170983928266079
atn_46,10,0.05,0.9909839046364357,1.08,1.4142135623730951,1.0540925533894598,0.5,1.1666666666666667,2.0,4.521472392638036,0.0,0.08366600265340753
atn_47,11,0.09917355371900827,0.9498491439160203,1.1900826446280992,1.041499986664533,0.7619419633774975,0.2727272727272727,2.3636363636363638,3.0,3.3930269413629164,0.15151515151515152,0.14739579254308438
atn_48,10,0.11,0.9280831368324268,1.16,1.245745744914816,0.904026296374321,0.3,2.3333333333333335,3.0,2.488372093023256,0.0,0.20180999164380523
atn_49,7,0.061224489795918366,0.9999999999999998,1.0816326530612244,1.2472191289246473,1.2472191289246473,0.5714285714285714,0.75,3.0,2.0,0.0,0.0
atn_5,10,0.18,0.9033076546394945,1.29,0.9728833730787924,0.8996265038141569,0.4,2.2857142857142856,3.0,1.5,0.3,0.2142016641886251
atn_50,15,0.11555555555555555,0.9617479884771352,1.2799999999999998,0.7383928539486744,0.4608511365680655,0.06666666666666667,5.5,2.0,2.7492560999801623,0.0,0.1900247397298617
atn_51,13,0.13609467455621302,0.9363892594891023,1.2189349112426038,0.7352841097951203,0.6171769376773213,0.15384615384615385,5.647058823529412,2.0,2.1075697211155378,0.46923076923076923,0.20806527101737
atn_52,13,0.11242603550295859,0.9285219402015689,1.1893491124260356,0.9921203870595573,0.9921203870595575,0.23076923076923078,3.7560975609756095,2.0,1.89393278044522,0.3981684981684982,0.16216808513683995
atn_53,7,0.061224489795918366,0.9999999999999998,1.0816326530612244,1.2472191289246473,1.2472191289246473,0.5714285714285714,0.75,1.0,1.3333333333333333,0.0,0.0
atn_54,9,0.07407407407407407,0.9786600843501597,1.0987654320987654,1.5,1.299038105676658,0.5555555555555556,1.0,1.0,1.9999999999999998,0.0,1.1511037319626837e-16
atn_55,9,0.08641975308641975,0.9797012107127449,1.1111111111111112,1.2494896917525644,0.8571428571428571,0.3333333333333333,1.4,3.0,1.1428571428571428,0.0,0.20140599270554788
atn_56,14,0.10714285714285714,0.94866735172772,1.163265306122449,0.9336995618478525,0.6793662204867574,0.14285714285714285,5.555555555555555,2.0,1.6702997275204357,0.4357142857142858,0.1839000869562255
atn_57,12,0.1388888888888889,0.96324352085314,1.2708333333333333,0.8984835709531516,0.7385489458759964,0.16666666666666666,3.090909090909091,4.0,2.600923313670172,0.24444444444444444,0.14408412097843623
